DATE,AQI VALUE,AQ DESCRIPTION,SITE ID,SITE NAME,ANALYTE
20020108,39,GOOD,60251003,EL CENTRO,PM10
20020114,54,MODERATE,60251003,EL CENTRO,PM10
20020120,20,GOOD,60251003,EL CENTRO,PM10
20020126,34,GOOD,60251003,EL CENTRO,PM10
20020201,22,GOOD,60251003,EL CENTRO,PM10
20020207,48,GOOD,60251003,EL CENTRO,PM10
20020219,38,GOOD,60251003,EL CENTRO,PM10
20020225,31,GOOD,60251003,EL CENTRO,PM10
20020227,29,GOOD,60251003,EL CENTRO,PM10
20020303,51,MODERATE,60251003,EL CENTRO,PM10
20020309,35,GOOD,60251003,EL CENTRO,PM10
20020315,26,GOOD,60251003,EL CENTRO,PM10
20020321,30,GOOD,60251003,EL CENTRO,PM10
20020327,49,GOOD,60251003,EL CENTRO,PM10
20020402,48,GOOD,60251003,EL CENTRO,PM10
20020408,39,GOOD,60251003,EL CENTRO,PM10
20020420,20,GOOD,60251003,EL CENTRO,PM10
20020422,30,GOOD,60251003,EL CENTRO,PM10
20020512,20,GOOD,60251003,EL CENTRO,PM10
20020520,65,MODERATE,60251003,EL CENTRO,PM10
20020522,32,GOOD,60251003,EL CENTRO,PM10
20020526,43,GOOD,60251003,EL CENTRO,PM10
20020601,37,GOOD,60251003,EL CENTRO,PM10
20020607,51,MODERATE,60251003,EL CENTRO,PM10
20020613,35,GOOD,60251003,EL CENTRO,PM10
20020619,44,GOOD,60251003,EL CENTRO,PM10
20020625,51,MODERATE,60251003,EL CENTRO,PM10
20020701,45,GOOD,60251003,EL CENTRO,PM10
20020707,44,GOOD,60251003,EL CENTRO,PM10
20020713,50,GOOD,60251003,EL CENTRO,PM10
20020719,34,GOOD,60251003,EL CENTRO,PM10
20020725,54,MODERATE,60251003,EL CENTRO,PM10
20020731,51,MODERATE,60251003,EL CENTRO,PM10
20020806,39,GOOD,60251003,EL CENTRO,PM10
20020812,52,MODERATE,60251003,EL CENTRO,PM10
20020818,155,UNHEALTHY,60251003,EL CENTRO,PM10
20020824,25,GOOD,60251003,EL CENTRO,PM10
20020830,51,MODERATE,60251003,EL CENTRO,PM10
20020905,55,MODERATE,60251003,EL CENTRO,PM10
20020911,43,GOOD,60251003,EL CENTRO,PM10
20020917,42,GOOD,60251003,EL CENTRO,PM10
20020923,29,GOOD,60251003,EL CENTRO,PM10
20020929,13,GOOD,60251003,EL CENTRO,PM10
20021005,29,GOOD,60251003,EL CENTRO,PM10
20021011,50,GOOD,60251003,EL CENTRO,PM10
20021017,43,GOOD,60251003,EL CENTRO,PM10
20021023,36,GOOD,60251003,EL CENTRO,PM10
20021029,35,GOOD,60251003,EL CENTRO,PM10
20021110,15,GOOD,60251003,EL CENTRO,PM10
20021116,41,GOOD,60251003,EL CENTRO,PM10
20021119,27,GOOD,60251003,EL CENTRO,PM10
20021122,57,MODERATE,60251003,EL CENTRO,PM10
20021128,21,GOOD,60251003,EL CENTRO,PM10
20021204,38,GOOD,60251003,EL CENTRO,PM10
20021210,43,GOOD,60251003,EL CENTRO,PM10
20021216,45,GOOD,60251003,EL CENTRO,PM10
20021222,17,GOOD,60251003,EL CENTRO,PM10
20021228,50,GOOD,60251003,EL CENTRO,PM10
20030103,33,GOOD,60251003,EL CENTRO,PM10
20030109,47,GOOD,60251003,EL CENTRO,PM10
20030115,26,GOOD,60251003,EL CENTRO,PM10
20030121,52,MODERATE,60251003,EL CENTRO,PM10
20030127,34,GOOD,60251003,EL CENTRO,PM10
20030202,91,MODERATE,60251003,EL CENTRO,PM10
20030208,28,GOOD,60251003,EL CENTRO,PM10
20030214,21,GOOD,60251003,EL CENTRO,PM10
20030220,17,GOOD,60251003,EL CENTRO,PM10
20030226,12,GOOD,60251003,EL CENTRO,PM10
20030304,10,GOOD,60251003,EL CENTRO,PM10
20030310,31,GOOD,60251003,EL CENTRO,PM10
20030316,21,GOOD,60251003,EL CENTRO,PM10
20030322,32,GOOD,60251003,EL CENTRO,PM10
20030328,34,GOOD,60251003,EL CENTRO,PM10
20030403,16,GOOD,60251003,EL CENTRO,PM10
20030409,38,GOOD,60251003,EL CENTRO,PM10
20030415,16,GOOD,60251003,EL CENTRO,PM10
20030421,52,MODERATE,60251003,EL CENTRO,PM10
20030427,47,GOOD,60251003,EL CENTRO,PM10
20030509,19,GOOD,60251003,EL CENTRO,PM10
20030517,54,MODERATE,60251003,EL CENTRO,PM10
20030521,35,GOOD,60251003,EL CENTRO,PM10
20030527,51,MODERATE,60251003,EL CENTRO,PM10
20030602,53,MODERATE,60251003,EL CENTRO,PM10
20030608,52,MODERATE,60251003,EL CENTRO,PM10
20030614,52,MODERATE,60251003,EL CENTRO,PM10
20030620,45,GOOD,60251003,EL CENTRO,PM10
20030626,30,GOOD,60251003,EL CENTRO,PM10
20030702,38,GOOD,60251003,EL CENTRO,PM10
20030708,55,MODERATE,60251003,EL CENTRO,PM10
20030714,57,MODERATE,60251003,EL CENTRO,PM10
20030720,31,GOOD,60251003,EL CENTRO,PM10
20030726,77,MODERATE,60251003,EL CENTRO,PM10
20030801,68,MODERATE,60251003,EL CENTRO,PM10
20030807,59,MODERATE,60251003,EL CENTRO,PM10
20030813,56,MODERATE,60251003,EL CENTRO,PM10
20030819,64,MODERATE,60251003,EL CENTRO,PM10
20030825,43,GOOD,60251003,EL CENTRO,PM10
20030906,50,GOOD,60251003,EL CENTRO,PM10
20030912,33,GOOD,60251003,EL CENTRO,PM10
20030918,56,MODERATE,60251003,EL CENTRO,PM10
20030930,44,GOOD,60251003,EL CENTRO,PM10
20031006,49,GOOD,60251003,EL CENTRO,PM10
20031012,26,GOOD,60251003,EL CENTRO,PM10
20031018,44,GOOD,60251003,EL CENTRO,PM10
20031024,59,MODERATE,60251003,EL CENTRO,PM10
20031030,113,UNHEALTHY FOR SENSITIVE,60251003,EL CENTRO,PM10
20031105,40,GOOD,60251003,EL CENTRO,PM10
20031111,55,MODERATE,60251003,EL CENTRO,PM10
20031117,24,GOOD,60251003,EL CENTRO,PM10
20031123,14,GOOD,60251003,EL CENTRO,PM10
20031129,43,GOOD,60251003,EL CENTRO,PM10
20031205,47,GOOD,60251003,EL CENTRO,PM10
20031211,47,GOOD,60251003,EL CENTRO,PM10
20031217,27,GOOD,60251003,EL CENTRO,PM10
20031223,20,GOOD,60251003,EL CENTRO,PM10
20031229,28,GOOD,60251003,EL CENTRO,PM10
20040104,17,GOOD,60251003,EL CENTRO,PM10
20040116,40,GOOD,60251003,EL CENTRO,PM10
20040122,16,GOOD,60251003,EL CENTRO,PM10
20040427,51,MODERATE,60251003,EL CENTRO,PM10
20040503,34,GOOD,60251003,EL CENTRO,PM10
20040509,29,GOOD,60251003,EL CENTRO,PM10
20040515,41,GOOD,60251003,EL CENTRO,PM10
20040521,46,GOOD,60251003,EL CENTRO,PM10
20040527,43,GOOD,60251003,EL CENTRO,PM10
20040601,44,GOOD,60251003,EL CENTRO,PM10
20040608,91,MODERATE,60251003,EL CENTRO,PM10
20040614,49,GOOD,60251003,EL CENTRO,PM10
20040620,26,GOOD,60251003,EL CENTRO,PM10
20040626,36,GOOD,60251003,EL CENTRO,PM10
20040702,34,GOOD,60251003,EL CENTRO,PM10
20040708,35,GOOD,60251003,EL CENTRO,PM10
20040714,38,GOOD,60251003,EL CENTRO,PM10
20040720,45,GOOD,60251003,EL CENTRO,PM10
20040726,41,GOOD,60251003,EL CENTRO,PM10
20040801,53,MODERATE,60251003,EL CENTRO,PM10
20040807,33,GOOD,60251003,EL CENTRO,PM10
20040813,67,MODERATE,60251003,EL CENTRO,PM10
20040819,40,GOOD,60251003,EL CENTRO,PM10
20040825,41,GOOD,60251003,EL CENTRO,PM10
20040831,44,GOOD,60251003,EL CENTRO,PM10
20040906,31,GOOD,60251003,EL CENTRO,PM10
20040912,22,GOOD,60251003,EL CENTRO,PM10
20040918,52,MODERATE,60251003,EL CENTRO,PM10
20040924,32,GOOD,60251003,EL CENTRO,PM10
20041012,49,GOOD,60251003,EL CENTRO,PM10
